Huge Sverting of the Obelisk,1,6,2,5,0,0,45,Top 1% of decks on SAS. Doesn't take much looking to see why.
Mr. F. Betaphant,1,3,4,2,0,0,45,Top 1.5% of decks on SAS LA + PS + CtW + Mother + Sac altar.
Bright Xhosa of the Colony,1,6,4,1,0,5,80,Good cards on crack. Maverick Feeding Pit. Oath of Poverty.
Miniature Soren of the Bazaar,1,3,4,7,0,0,45,"Top 1% of decks on SAS. Triple Battle Fleet + Library Access. Inconsistent, but Broken."
Identically Massive Noricus,1,6,1,5,0,0,30,BIG Creatures. Solid Triples. Great Removal. Dope Name
"Xander, Fortress Commander",1,3,7,5,1,0,30,Maverick Doorstep to Heaven. Nepenthe Seed. Some steal
U. C. Falsedirk of the Scalene Tavern,1,3,4,7,1,0,35,Maverick Vigor. Library Access - Phase Shift
"Bopanda Kauldron-Haddeburg, Tanner",1,6,7,5,1,0,25,Triple Smaaash. Triple Grabber + pack. Good untamed.
"D. Tweddle, Breakfont's Hyperbolic Courier",1,1,4,7,1,0,85,Horsemen + Maverick Magda. Library Access + mother
Provost Owloid Aembermaker,1,6,3,4,0,0,15,Maverick Lash.
Baba Maywing Grigorov,1,6,1,5,0,0,15,Thicc boiz + Quad snufflegator. What else could you possibly want from me?
"Buffaga, it that Winks at the Shop",1,6,2,5,0,3,55,Classic Bait and Forge.
It That Mysteriously Oils Telepathy,1,7,1,5,0,0,25,Hunting witch. Double Mimicry. Spider. Doorstep.
The Carpenter that Wastes Construction,1,6,2,5,0,3,55,Double hunting witch. Bait and Forge.
"Ariunzul, Deadlands Natural Philosopher",1,3,1,5,0,0,35,Maverick Ghostly Hand. Untamed ramp deck.
Sweatpick of the Centurion's Guildhall,1,6,1,5,0,0,65,Horseman Deck.
She who Fights for Hegemony,1,4,7,5,0,0,25,Triple Dust Pixie + Witch. Library Access + Phase Shift
The Craven Sargent,1,7,1,2,0,0,40,Faygin. Double TMtP. Double Gatekeeper. Spider. Bait and Switch.
J. U. Zembaple of the Active Guildhall,1,6,4,2,0,0,35,Library Access TRIPLE Phase shift. Graft. Bait and  switch.
"J. Katz, the Stadium Ruffian",1,3,7,5,0,0,25,Control the Weak. Double Dust Imp. Double Shooler.
The Dire Farmer Trapper of Oakbury,1,4,1,2,1,0,20,Routine Job. Too much to Protect. Epic Quest.
The Huge Survivalist Scammer of Antiland,1,6,3,1,1,0,20,Double Doorstep. Double Shooler. Bumpsy.
"T. Simplicius, Tidebreaker of the Only Wild",1,7,1,5,1,0,20,Hunting Witch. Quad Niffle Ape. TROOP CALL.
"Abiah, Sizzling Port Trooper",1,4,1,5,1,0,30,Library Access. Double Niffle Ape. Hunting Witch. Flaxia. Regrowth.
Yosef Javadroid from the Judge's Slum,1,3,4,1,0,0,25,Library Access + Phase Shift. Double Mother.
The Scalene Scholar Darklord of Sparkland,1,3,2,5,0,0,40,Sting. Double Dust Imp. Double Dust Pixie. Hunting Witch. TMtP
"Stylobel, Spawn of Palaia",1,3,4,1,0,0,80,Horseman Deck. Library Access. Double Mother.
The Judge That Demolishes Ideas,1,3,7,1,0,3,100,Horseman deck. Glorious Few + Cleansing Wave. Spider + Backup. CtW. 3-0 record
"Jennilyn ""Isosceles"" Protoray",1,4,7,2,0,0,80,Double Maverick. Timetraveller. Sting. TMtP. Double Hive + Pheremones.
"Baron Xixoion, the Haphazard Rioter",1,6,3,1,0,0,10,Good Brobnar. Double Succubus. Virtuous works.
The Thing Who Annoys Nemesis,1,3,1,5,0,0,10,Double Doorstep. Double Shooler. CtW. Mimicry. Ritual of Balance.
"Celloduke Roberts-Azerius, Bureaucrat",1,3,4,1,0,0,50,Library Access + Timetraveller.
Xanatos the Well-Born,1,3,4,5,1,0,25,Library Access + Phase Shift. Double Ember Imp. Double Shooler.
"Aiyana, Gibbering Tower Warlock",1,3,1,5,0,0,15,Double Control the Weak. Double Succubus. Round Table + Double Monk. Doorstep.
"Ableson, the Spy of Featherspur",1,6,4,5,0,0,15,Library Access. Wardrummer + Double Bumpsy. Ritual of Balance.
"Neverhands, the Critic Sophomore",1,4,7,1,0,0,10,Double Grabber. Spider. Graft.
I. B. Smokemon of the Nightmarish Theater,1,6,7,5,0,0,10,Battle Fleet. Double Murmook. Regrowth. Nature's Call + Full Moon + Key Charge
Ze that Reports on Noise,1,4,7,1,1,0,50,Library Access. Timetraveller. Triple Doc Bookton. Brain Eater.
O. U. Clarbum of the Annual Shanty,1,3,4,1,0,0,15,Maverick Troll. Lol. My second deck ever and first maverick deck.
"Raindict, the Colleague of the Refuge",1,6,3,4,0,0,OFFER,"Straight Broken. Yes, even the Brobnar. I'm attatched."
He who Energetically has Potency,1,1,2,5,0,0,250,Heavily misprinted maverick deck. Not legal for play. Duped Cards.
The Majestic Dragontamer,2,1,4,3,0,7,80,My ONLY deck to hit power level 2 at locals. Way better than it looks.
"Freebet, the Graceful Crucible Criminal",2,3,1,5,0,0,55,Top 1.5% of decks on SAS. Maverick Hidden Stash
Emperor N. Arstrong,2,6,1,2,0,0,45,This deck is just full of insane cards. Do not be mislead by the pennys and pip count.N
"Teloscogold, Spawn of Neoielle",2,3,4,2,1,0,50,Double TMtP + Graft. Reverse Time. Mother. Top SAS deck.
"Oppentop, the Wrestler of Automond",2,4,7,1,1,0,15,Oath of Poverty. 9 artifacts.
The Man that Treads Upon Invention,2,4,7,1,1,0,25,Many doubles. Good cards.
The Obsolete Genius,2,3,7,1,1,0,25,Good doubles.
"Gundrin, Market Thespian",2,3,4,2,1,0,20,Good steal. Silver Key Imp
"""Core"" Xalh, Nexus Abductor",2,7,2,5,1,0,25,Good steal. Nepenthe Seed.
Crook Keyvan Anixolack,2,6,3,5,0,0,10,Flex-Lollop-Blood-Triple Grovekeeper. Meme Deck.
"Zipsy Q. Speedfect, the Forgotten",2,3,2,5,0,0,30,Heist Night Deck
The Casually Noble Arbiter of Harvestworld,2,6,4,2,0,0,25,"Maverick Challe. Lmao. Not a bad deck, but not great either."
"Macarius ""Crumpet"" Greatimpala",2,4,1,2,0,0,30,Redacted + Crazy Logos + Hot Shadows
Carrizo the Talented,2,3,2,5,1,0,20,Double Exhume + Pitlord. Treasure Map. Double Flaxia. Ronnie. Swindle.
"""Buddy"" Bassus, Castle Commander",2,7,1,2,0,0,40,6 Rats. 2 Jobs. 11 Rares. Top 8 Prerelease Deck.
"Cyril, Noxious Valley Alchemist",2,6,3,1,0,0,50,Double Tezmal lock deck. Double Poltergeist. Grey Rider Combo. 4-0 deck.
"Chieftain Hulkbolt, The Magnificent First",2,6,1,5,0,0,20,Legacy Inspiration. Epic Quest + Martyr's End deck.
"N. Petra, Sourlagoon's Unruly Loner",2,6,7,2,1,0,25,Lots of shadows dupes. Including ronnie.
Emperor Wilson,2,4,7,5,0,0,25,Triple Mars needs Aember. Double Cutthroat. Hypnobeam
"Castlesen, the Burning Wasteland Sprinter",2,3,2,5,1,0,30,Double Tezmal Lock. Double Exhume. Double Flaxia.
The Rapidly Slick Baker of Everpark,2,6,4,5,0,0,40,Timetraveller. Double Mimicry. Glimmer.
"Arturo, the mercenary of Linguistics",2,6,3,7,1,0,15,Maverick Marruck. Double Hypnobeam. Double Blood of the Titans.
"Clemens H. Jintropost, the Mad",2,4,7,2,1,0,30,Legacy Noddy. Double Brend. Double Archimedes. Eureka!
Maestro Magnus Knightelbow,2,6,3,7,0,0,15,Legacy Tunk. Double Binding Irons. Pitlord.
"Sfc. ""Tornadium"" Chapman",2,6,1,5,1,0,20,Oath of Poverty. 5 artifacts.
"B. Haddeburg, Doldine's Ample Gambler",2,3,1,5,1,0,20,Double Doorstep
"Z. Danjuma, Skullpit's Grim Luddite",2,6,3,4,1,0,30,Triple Exhume. Double Horns. Stockpile.
"Hogan, Stonefoss's Giant",2,6,3,2,1,0,20,Too much to protect. Gold Key Imp. Ronnie. Double Gauntlet.
The drowsy crook luddite of Rotlake,2,6,1,5,1,0,15,Horn. Double Chieftan. Good untamed. Doorstep. Derric.
It that Universally Challenges Platinum,2,3,1,5,1,0,30,Double Dust Imp. Doorstep. Exhume. Angwish. Irons. Glimmer. 10/10 Name
"""Skiffle"" Acilia, Avenue Outlaw",2,1,2,5,1,0,25,Ronnie. Double Rider. Doorstep. Soldiers to Flowers. Good Steal.
"Abolidrain, the Neverborn Chamber Heretic",2,3,7,5,1,0,25,TRIPLE Mimicry.
Emperor Cubbins,2,7,1,2,1,0,20,QUAD Miasma. What even is forge step?
"Arnis W. Merviyava, the First",2,6,4,1,1,0,25,Triple ZYX Researcher. Triple Abond. Archimedes.
Nekshen of the Rogue's Castle,2,3,7,1,1,0,35,Triple Ember Imp. Control the Weak. Cave. Psychic Network.
The Tiresome Royal Advisor,2,6,3,4,0,0,30,Triple Researcher Gangernaut Deck. 9th at Primes. Won anytime it wasn't banned.
"Groundmill Pendragon-Donati, Inventor",2,6,3,4,0,0,50,Legacy Firespitter. Maverick Proclemation. Double Exhume. Double Dust Imp.
"Bronson W. Occumask, the Ninety Ninth",2,3,1,2,0,4,70,Triple Dust Imp. Barrister Joya. Good Steal. 4-0 Deck.
Knight Kellen Nearcare,2,3,7,2,0,0,15,Double Shooler. Lash. Triple Phloxem. Double Mars First. Swindle. Routine Job. Murkens.
"Quilmother, the Thrall of the Dojo",2,6,7,1,0,3,30,Stun City. Barrister + Cloak.
Broken Beatrix of the Spiral,2,3,4,7,0,0,50,Timetraveller. Double Ember Imp. Mother.
"Powerraven, Spawn of Blanvor",2,3,4,2,1,0,35,Legacy Effervescent Principle.
"Zinmus, Spawn of Chennimonk",2,6,4,7,1,0,20,Maverick Furtive Investors.  Grumpus Deck.
The Steely Fighter of Strangemoor,2,6,1,5,1,0,15,Ever wanted a legacy Bear? Well here you go.
"Aemberpheus, the Duchess of Whim",3,3,4,9,0,0,OFFER,Legacy Eureka! Double Edie. Double Eyegor. Double Vapors. E'e.
The Imprudently Lonely Mother of Bradlead,3,8,2,5,0,0,35,Double Imprinted Murmook. Saury About That. Spiral + Library
"Eleanamesh, Spawn of Delerg",3,3,8,9,0,0,45,Kirby's Blaster. Book of IeQ. Maverick Ingram. Ortannu.
The Silently Invisible Cook of Kinworth,3,3,8,2,0,0,35,Sic Semper. Tribute. Thieve's Bane + Brend. Ronnie. Chain Gang
"Benjicott, ""The Young"" Leadhouse",3,2,9,5,0,0,50,Red Baron Anomaly. Quad Moor Wolf
The Sr. Of Hebercity,3,3,8,5,0,0,35,Maverick Impspector. Legacy They're Everywhere.
"Dreaded ""Bullet"" Dullas",3,3,2,9,0,0,60,Memolith Anomaly. Good Actions for it. Control Tools.
The Baroness of Mongapit,3,3,8,2,0,2,45,Searchable Saurus Rex Imperial Forge combo. Two spirals. High Synergy.
"Gaogovia, the Wary Home Officer",3,3,2,5,0,0,60,Anomaly Lateral Shift. Double Exhume. Double Harmonia. Double Imprinted Murmook.
Q. F. Frostrunner of the Prepared Forest,3,4,8,2,0,0,30,Double Tautau. Double Edai. Wormhole. Tribute. TMtP. Treasure Map.
The Hermit that Settles Knights,3,3,4,5,0,0,25,Maverick Chief Engineer Walls with Robots. Double Daughter.
Horton the Measurably Jammed,3,4,8,5,0,0,30,Triple Information Exchange. Triple Harmonia. Ghosthawk. Mimicry.
"Nadine, Notorious Fountain Mentor",3,3,8,9,0,0,5,Double City-State Interest. Double Terrordactyl. Scutum. Philophosaurus.
"Fridgeir, Wondrous Ruins Scribe",3,6,4,8,0,0,10,Triple Good of the Many. Philophosaurus. Hyde + Velum. Hologrammophone.
The Impervious Ornithologist of Regitown,3,8,9,5,1,0,25,Triple Moor Wolf. Tribute. Colosseum. Red Alert. Double Axiom.
"Gan, Refuge Praetor",3,4,8,9,1,0,25,Sic Semper. Book of IeQ.
"Everlasting "" Calico"" Longshanks",3,3,4,2,1,0,30,Legacy Flame-Wreathed. Double Information Exchange. Tautau Vapors. Daughtor.
"Sabonis, the Governor of the Cauldron",3,4,8,5,1,0,25,Xenos. Ghosthawk. Double Harmonia. Double Information Exchange.
MacIsaac of Sauriria,3,3,8,5,1,0,25,Ghosthawk + Lynx. Double Song of the Wild. Flaxia. Exhume. Good of the Many.
"I. Rasmussen, the Arena Drone",3,6,3,8,1,0,15,E'e on the fringes. Triple Gallipygian Ideal. Flex.
Zealot Mithxas from the Owl's Academy,3,3,4,8,1,0,15,Information Exchange. Daughter. Wormhole. Double Binding Irons.
Du'lac the Incongruously Considerate,3,3,4,8,1,0,30,Triple Eyegor. Daughtor. Double Wormhole. E'e on the fringes. Saurus Rex.
Baron Petronia Slowiasha,3,6,4,8,1,0,20,Maverick Exile. Double Philophosaurus.
Mariko Coldwile from the Emperor's Dojo,3,6,3,4,1,0,20,Legacy Poke. Double Daughter.
"Rodgemon Leake-Harrop, Dagger",3,3,4,2,0,0,40,Maverick Golden Spiral. Double Daughtor. Eyegor. Vapors
